x,y,is_goal,Assisted,IndividualPlay,RegularPlay,LeftFoot,RightFoot,FromCorner,FirstTouch,Head,BigChance,SetPiece,Volley,FastBreak,ThrowinSetPiece,Penalty,OneOnOne,KeyPass,OtherBodyPart,shot_distance,period_FirstHalf,period_SecondHalf,Zone_Back,Zone_Center,Zone_Left,Zone_Right
80.8,51.6,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,19.266551326067674,False,True,False,True,False,False
79.3,24.2,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,33.077635949384295,False,True,False,True,False,False
80.0,59.5,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,22.14158982548453,False,True,False,True,False,False
89.8,55.6,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,11.63615056623109,False,True,False,True,False,False
84.9,56.2,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,16.32329623574846,False,True,False,True,False,False
88.2,57.0,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,13.720058308913995,False,True,False,True,False,False
76.8,56.4,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,24.066574330386118,False,True,False,True,False,False
87.9,68.2,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,21.85520532962342,False,True,False,True,False,False
91.9,48.8,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,8.188406438373704,False,True,False,True,False,False
75.0,51.9,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,25.072096043211065,False,True,False,True,False,False
72.9,55.1,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,27.575713952679443,False,True,False,True,False,False
90.5,50.1,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,9.500526301210897,False,True,False,True,False,False
93.6,55.6,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,8.504116650187726,False,True,False,True,False,False
97.9,58.9,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,9.144397191723463,False,True,False,True,False,False
84.9,26.3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,28.101601377857452,False,True,False,True,False,False
90.6,31.7,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,20.573040611440987,False,True,False,True,False,False
90.1,36.8,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.500000000000004,False,True,False,True,False,False
87.8,42.5,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,14.320963654726594,False,True,False,True,False,False
87.7,53.2,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,12.709445306542687,False,True,False,True,False,False
